"","Metric abbreviation","Metric","SDG","Percentage Indicators","Percentage SDGs"
"1","Extreme poverty"," Extreme poverty (Mio. people)","SDG1",3.1,4.7
"2","Population < 1 $"," Population less than 1 dollar (%)","SDG1",1.6,4.7
"3","Hunger risk"," Hunger risk (Mio. people)","SDG2",15.6,45.3
"4","Undernourishment"," Prevalence of undernourishment (Mio. people)","SDG2",1.6,45.3
"5","Hunger incidence"," Hunger incidence (% population)","SDG2",1.6,45.3
"6","Malnourished children"," Malnourished children (Mio. children)","SDG2",1.6,45.3
"7","FPI 2005"," Food price index (2005)","SDG2",12.5,45.3
"8","FPI 2010"," Food price index (2010)","SDG2",12.5,45.3
"9","FPI 2015"," Food price index (2015)","SDG2",1.6,45.3
"10","Change food prices"," Change average food prices (US$)","SDG2",3.1,45.3
"11","Fertilizer use"," Fertilizer use (Input 10^3 ton/y)","SDG2",4.7,45.3
"12","Nitrogen use"," Fertilizer use nitrogen (Tg N/yr)","SDG2",25,45.3
"13","NO2 emissions"," Nitrogen oxide emissions (Mt NO2/yr)","SDG3",53.1,68.8
"14","NOx emissions"," Nitrogen oxide emissions (Mt NOx/yr)","SDG3",10.9,68.8
"15","SO2 emissions"," Sulphur dioxide emissions (Mt SO2/yr)","SDG3",62.5,68.8
"16","SOx emissions"," Sulphur dioxide emissions (Mt SOx/yr)","SDG3",6.2,68.8
"17","BC emissions"," Black carbon emissions (Mt BC/yr)","SDG3",60.9,68.8
"18","PM2.5 emissions"," PM2.5 emissions (Mt PM2.5/yr)","SDG3",1.6,68.8
"19","MYS"," Mean years of schooling (MYS)","SDG4",9.4,14.1
"20","Adults no education"," Adults no education (%)","SDG4",3.1,14.1
"21","Female education"," Female education (%)","SDG4",9.4,14.1
"22","Primary education"," Primary education (%)","SDG4",1.6,14.1
"23","Gender rat. prim. edu."," Gender ratio primary education","SDG5",4.7,4.7
"24","Gender rat. sec. edu."," Gender ratio secondary education","SDG5",1.6,4.7
"25","Access improved water"," Add. acc. to improved water source (Mio. people)","SDG6",1.6,32.8
"26","Access basic sanitation"," Add. acc. to basic sanitation facilities (Mio. people)","SDG6",1.6,32.8
